application_id,opening_id,applicant_name,application_date,stage,source,demographic,outcome
APP00001,OPEN0001,Craig Williams,12/9/2022,Applied,LinkedIn,White,Pending
APP00002,OPEN0001,William Huff,12/23/2022,Applied,LinkedIn,Asian,Pending
APP00003,OPEN0001,Steve Murphy,12/19/2022,Applied,LinkedIn,White,Pending
APP00004,OPEN0001,Monica Byrd,12/6/2022,Screen,LinkedIn,Hispanic,Pending
APP00005,OPEN0001,Madison Smith,11/27/2022,Interview,LinkedIn,White,Pending
APP00006,OPEN0001,Deanna Hall,12/21/2022,Offer,LinkedIn,White,Pending
APP00007,OPEN0001,Carrie Robinson,11/25/2022,Applied,LinkedIn,White,Pending
APP00008,OPEN0001,Peter Munoz,12/15/2022,Applied,LinkedIn,Asian,Pending
APP00009,OPEN0001,Chad Shaw,11/24/2022,Applied,LinkedIn,White,Pending
APP00010,OPEN0001,Erin Harvey,12/7/2022,Screen,LinkedIn,White,Pending
APP00011,OPEN0001,Philip Hopkins,12/9/2022,Screen,LinkedIn,White,Pending
APP00012,OPEN0001,Jennifer Robertson,12/17/2022,Interview,LinkedIn,Black,Pending
APP00013,OPEN0001,Kevin Lee,11/26/2022,Applied,LinkedIn,Hispanic,Pending
APP00014,OPEN0001,Brittney Lucas,11/30/2022,Applied,LinkedIn,White,Pending
APP00015,OPEN0001,Bethany Frazier,12/19/2022,Applied,LinkedIn,White,Pending
APP00016,OPEN0001,Ryan Garcia,12/12/2022,Applied,LinkedIn,White,Pending
APP00017,OPEN0001,Tammy Buchanan,12/16/2022,Applied,LinkedIn,White,Pending
APP00018,OPEN0001,Alexander Miller,12/16/2022,Screen,LinkedIn,White,Pending
APP00019,OPEN0001,Sonya Henderson,11/24/2022,Interview,LinkedIn,White,Pending
APP00020,OPEN0002,Jennifer Simmons,10/4/2018,Interview,Company Website,White,Pending
APP00021,OPEN0002,Christina Malone,10/23/2018,Applied,Company Website,White,Pending
APP00022,OPEN0002,Nicole Bell,10/28/2018,Applied,Company Website,Asian,Pending
APP00023,OPEN0002,Jeffrey Graham,10/11/2018,Applied,Company Website,White,Pending
APP00024,OPEN0002,Dawn Luna,10/7/2018,Applied,Company Website,White,Pending
APP00025,OPEN0002,Michelle Tyler,10/5/2018,Screen,Company Website,White,Pending
APP00026,OPEN0002,Joseph Patterson,10/19/2018,Applied,Company Website,White,Pending
APP00027,OPEN0002,Brian Powell,10/7/2018,Applied,Company Website,Hispanic,Pending
APP00028,OPEN0002,Robert Gaines,10/11/2018,Screen,Company Website,White,Pending
APP00029,OPEN0002,William Lawrence,10/7/2018,Screen,Company Website,White,Pending
APP00030,OPEN0002,Mary Velez,10/11/2018,Offer,Company Website,White,Pending
APP00031,OPEN0002,Roy Robinson,10/19/2018,Applied,Company Website,Black,Pending
APP00032,OPEN0002,Laurie Hayden,10/16/2018,Interview,Company Website,Black,Pending
APP00033,OPEN0002,Randy Schwartz,10/3/2018,Interview,Company Website,White,Pending
APP00034,OPEN0002,Bryan Villanueva,10/22/2018,Screen,Company Website,White,Pending
APP00035,OPEN0002,Janice Mora,10/17/2018,Applied,Company Website,White,Pending
APP00036,OPEN0002,Andrew Brown,10/26/2018,Applied,Company Website,White,Pending
APP00037,OPEN0002,Melinda Palmer,10/28/2018,Interview,Company Website,White,Pending
APP00038,OPEN0002,Alan Russo,10/1/2018,Applied,Company Website,White,Pending
APP00039,OPEN0002,Alexis Anderson,10/1/2018,Screen,Company Website,White,Pending
APP00040,OPEN0003,Julia Miller,4/25/2021,Screen,Indeed,White,Pending
APP00041,OPEN0003,Rachel Armstrong,4/11/2021,Screen,Indeed,Asian,Pending
APP00042,OPEN0003,Joseph Campbell,4/26/2021,Interview,Indeed,Hispanic,Pending
APP00043,OPEN0003,Kim Rivera,4/27/2021,Applied,Indeed,White,Pending
APP00044,OPEN0003,Stephanie Mcbride,4/23/2021,Applied,Indeed,Black,Pending
APP00045,OPEN0003,David Rios,4/26/2021,Screen,Indeed,White,Pending
APP00046,OPEN0003,Kevin Parsons,5/3/2021,Applied,Indeed,Black,Pending
APP00047,OPEN0003,James Adams,4/28/2021,Applied,Indeed,Asian,Pending
APP00048,OPEN0003,Daniel Brown,4/11/2021,Applied,Indeed,White,Pending
APP00049,OPEN0003,Jeffrey Schmidt,4/13/2021,Interview,Indeed,Black,Pending
APP00050,OPEN0003,Ryan Olson,4/21/2021,Interview,Indeed,Asian,Pending
APP00051,OPEN0003,Zachary Reed,4/10/2021,Interview,Indeed,White,Pending
APP00052,OPEN0003,Jessica Hill,4/18/2021,Applied,Indeed,Black,Pending
APP00053,OPEN0003,Ann Shannon,4/18/2021,Interview,Indeed,White,Pending
APP00054,OPEN0003,Colleen Goodwin,4/12/2021,Screen,Indeed,White,Pending
APP00055,OPEN0003,Carly Rojas,4/24/2021,Interview,Indeed,White,Pending
APP00056,OPEN0003,Devin Graham,5/4/2021,Applied,Indeed,White,Pending
APP00057,OPEN0003,Kevin Smith,4/24/2021,Offer,Indeed,White,Pending
APP00058,OPEN0003,Christopher Leonard,4/15/2021,Screen,Indeed,White,Pending
APP00059,OPEN0003,Patrick Johnson,4/25/2021,Applied,Indeed,Hispanic,Pending
APP00060,OPEN0003,Debra Ochoa,4/17/2021,Applied,Indeed,White,Pending
APP00061,OPEN0003,Melissa Young,4/20/2021,Applied,Indeed,Hispanic,Pending
APP00062,OPEN0003,Shelly Robinson,4/10/2021,Interview,Indeed,White,Pending
APP00063,OPEN0003,Beth Wilson,4/27/2021,Interview,Indeed,Black,Pending
APP00064,OPEN0003,Alicia Vincent,4/14/2021,Interview,Indeed,Black,Pending
APP00065,OPEN0004,Allison Petersen,3/24/2021,Applied,LinkedIn,White,Pending
APP00066,OPEN0004,Ms. Megan Lee,4/3/2021,Applied,LinkedIn,White,Pending
APP00067,OPEN0004,Brenda Davis,3/12/2021,Interview,LinkedIn,Black,Pending
APP00068,OPEN0004,John Moore,3/17/2021,Screen,LinkedIn,White,Pending
APP00069,OPEN0004,Donna Barry,4/8/2021,Applied,LinkedIn,White,Pending
APP00070,OPEN0004,Tina Williams,3/16/2021,Applied,LinkedIn,White,Pending
APP00071,OPEN0004,Katelyn Kelly,3/13/2021,Applied,LinkedIn,White,Pending
APP00072,OPEN0004,Thomas Garcia,4/5/2021,Offer,LinkedIn,White,Pending
APP00073,OPEN0004,Allison Patterson,4/1/2021,Applied,LinkedIn,White,Pending
APP00074,OPEN0004,Brent Harris,3/28/2021,Applied,LinkedIn,White,Pending
APP00075,OPEN0004,Cameron Boyer Jr.,3/24/2021,Interview,LinkedIn,White,Pending
APP00076,OPEN0004,Vanessa Wilson,3/23/2021,Offer,LinkedIn,White,Pending
APP00077,OPEN0004,Scott Gross,3/31/2021,Hired,LinkedIn,Hispanic,Hired
APP00078,OPEN0004,Abigail Stephenson,4/8/2021,Interview,LinkedIn,Asian,Pending
APP00079,OPEN0004,David Sullivan,3/19/2021,Applied,LinkedIn,White,Pending
APP00080,OPEN0004,Christina Miller,4/3/2021,Screen,LinkedIn,White,Pending
APP00081,OPEN0004,Victoria Boyer,3/16/2021,Screen,LinkedIn,White,Pending
APP00082,OPEN0004,Glen Phillips,3/29/2021,Applied,LinkedIn,White,Pending
APP00083,OPEN0004,Randy Ross,3/20/2021,Screen,LinkedIn,Black,Pending
APP00084,OPEN0005,Mathew White,10/13/2021,Screen,LinkedIn,White,Pending
APP00085,OPEN0005,Jesse Thornton,10/4/2021,Applied,LinkedIn,Black,Pending
APP00086,OPEN0005,Elizabeth Dawson,10/30/2021,Applied,LinkedIn,White,Pending
APP00087,OPEN0005,Krista Edwards,10/4/2021,Applied,LinkedIn,White,Pending
APP00088,OPEN0005,Joseph Green,10/28/2021,Applied,LinkedIn,Asian,Pending
APP00089,OPEN0005,Elizabeth Burns,10/6/2021,Screen,LinkedIn,White,Pending
APP00090,OPEN0005,Rebecca Sullivan,10/23/2021,Applied,LinkedIn,Black,Pending
APP00091,OPEN0006,Joshua West,3/9/2019,Applied,LinkedIn,Black,Pending
